timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1749465478171227900,1.8665767908096313,-8.900236129760742,967.4349975585938,531.3941645622253,967.4349975585938,531.3941645622253,171.0,115.5,1,1,0,0
1749465478191144900,1.0359196662902832,-7.9188551902771,952.1044921875,516.6438925266266,952.1044921875,516.6438925266266,155.0,104.0,1,1,0,0
1749465478212077100,0.9406359791755676,-8.371646881103516,953.9247894287109,527.4321019649506,953.9247894287109,527.4321019649506,168.0,99.5,1,1,0,0
1749465478240271200,1.0898922681808472,-8.226091384887695,955.4816436767578,524.4792795181274,955.4816436767578,524.4792795181274,157.5,100.0,1,1,0,0
1749465478272743700,1.2712534666061401,-7.973825931549072,951.888427734375,518.7776327133179,951.888427734375,518.7776327133179,157.0,101.0,1,1,0,0
1749465478322059400,1.0846680402755737,-8.364165306091309,955.6150245666504,527.8350126743317,955.6150245666504,527.8350126743317,152.0,99.5,1,1,0,0
1749465478354071100,1.0846680402755737,-8.364165306091309,955.6150245666504,527.8350126743317,955.6150245666504,527.8350126743317,152.0,99.5,1,1,0,0
1749465478373288900,1.3603049516677856,-6.572994232177734,928.6584663391113,480.8644366264343,952.1044921875,516.6438925266266,162.5,100.0,1,1,0,0
1749465478400784800,1.4800082445144653,-2.511892318725586,852.3044013977051,412.8770041465759,953.9247894287109,527.4321019649506,178.5,94.0,1,1,0,0
1749465478432171800,1.2785290479660034,-2.8717281818389893,851.0034942626953,408.7614440917969,952.1044921875,516.6438925266266,176.0,104.0,1,1,0,0
1749465478481112600,1.6998411417007446,-3.2739381790161133,882.4263381958008,426.3622176647186,928.6584663391113,480.8644366264343,173.0,100.5,1,1,0,0
1749465478509263000,1.6998411417007446,-3.2739381790161133,882.4263381958008,426.3622176647186,882.4263381958008,426.3622176647186,171.0,100.0,1,1,0,0
1749465478560224100,1.7077540159225464,-2.8162460327148438,872.4670600891113,420.91339588165283,882.4263381958008,426.3622176647186,178.0,112.5,1,1,0,0
1749465478589912100,1.5316661596298218,-2.72647762298584,864.6501731872559,413.02226185798645,882.4263381958008,426.3622176647186,159.0,111.0,1,1,0,0
1749465478613371300,1.7780648469924927,-3.008882999420166,878.8901710510254,424.49729919433594,882.4263381958008,426.3622176647186,167.5,110.0,1,1,0,0
1749465478640193000,1.5027202367782593,-3.5212249755859375,875.9866333007812,425.6906461715698,878.8901710510254,425.6906461715698,156.0,114.5,1,1,0,0
1749465478672254900,1.5166832208633423,-3.16965389251709,870.6913375854492,421.34698033332825,878.8901710510254,425.6906461715698,159.0,106.0,1,1,0,0
1749465478721852800,1.5642365217208862,-3.496462345123291,879.1611671447754,426.5968894958496,879.1611671447754,426.3622176647186,165.0,108.5,1,1,0,0
1749465478747930700,1.5642365217208862,-3.496462345123291,879.1611671447754,426.5968894958496,878.8901710510254,425.6906461715698,165.0,108.5,1,1,0,0
1749465478768633400,1.7768980264663696,-2.4963228702545166,865.6066131591797,422.7900302410126,878.8901710510254,425.6906461715698,161.0,108.5,1,1,0,0
1749465478800459600,1.6893607378005981,-3.4273571968078613,884.2607688903809,427.6703095436096,879.1611671447754,426.3622176647186,157.0,104.5,1,1,0,0
1749465478833610000,1.6318541765213013,-3.444967031478882,880.9915351867676,427.7914273738861,879.1611671447754,426.3622176647186,159.5,103.5,1,1,0,0
1749465478880358000,1.7819701433181763,-3.2512998580932617,885.8291244506836,430.4526400566101,879.1611671447754,426.3622176647186,160.5,105.0,1,1,0,0
1749465478907049800,1.7819701433181763,-3.2512998580932617,885.8291244506836,430.4526400566101,880.9915351867676,427.6703095436096,160.5,106.0,1,1,0,0
1749465478961551600,1.553701400756836,-2.891806125640869,870.1627922058105,415.43612122535706,879.1611671447754,426.3622176647186,154.5,92.0,1,1,0,0
1749465478984179400,1.6775622367858887,-3.5773580074310303,887.7626609802246,431.7653024196625,880.9915351867676,427.6703095436096,149.0,102.5,1,1,0,0
1749465479005960400,1.572834849357605,-3.8141305446624756,886.2353324890137,432.60517716407776,880.9915351867676,427.6703095436096,149.0,108.0,1,1,0,0
1749465479040004900,1.5000287294387817,-3.5216047763824463,877.5889778137207,425.59006333351135,879.1611671447754,426.3622176647186,149.0,106.5,1,1,0,0
1749465479072001900,1.474622368812561,-3.4184577465057373,874.9753761291504,422.5834250450134,880.9915351867676,427.6703095436096,155.5,106.5,1,1,0,0
1749465479120838800,1.4182108640670776,-2.8243114948272705,856.391658782959,415.3081154823303,879.1611671447754,426.3622176647186,165.0,108.5,1,1,0,0
1749465479146344200,1.4651330709457397,-3.5061662197113037,874.9697685241699,424.31103587150574,877.5889778137207,425.59006333351135,159.5,109.0,1,1,0,0
1749465479166795200,1.7015479803085327,-2.833143472671509,871.1778831481934,424.46173310279846,874.9753761291504,424.46173310279846,158.5,108.5,1,1,0,0
1749465479200503000,1.807273268699646,-2.9831881523132324,877.7411270141602,427.6759743690491,877.7411270141602,426.3622176647186,163.5,113.5,1,1,0,0
1749465479233260500,1.7134846448898315,-2.962433338165283,873.7669944763184,421.2224507331848,874.9753761291504,424.46173310279846,159.5,107.0,1,1,0,0
1749465479281877600,1.7660890817642212,-2.881831169128418,875.2776145935059,421.6229474544525,874.9753761291504,424.46173310279846,159.5,106.0,1,1,0,0
1749465479302564000,1.7660890817642212,-2.881831169128418,875.2776145935059,421.6229474544525,875.2776145935059,424.46173310279846,158.5,106.0,1,1,0,0
1749465479361621500,1.9884569644927979,-3.328873872756958,892.1534729003906,434.9482262134552,875.2776145935059,424.46173310279846,158.5,105.5,1,1,0,0
1749465479391739300,1.9222558736801147,-3.602710723876953,891.3661766052246,438.5035479068756,875.2776145935059,424.46173310279846,158.0,103.5,1,1,0,0
1749465479415546600,1.9584434032440186,-3.0081124305725098,885.4411697387695,429.85535502433777,875.2776145935059,424.46173310279846,158.5,106.0,1,1,0,0
1749465479440218400,1.9568737745285034,-3.1618971824645996,888.6786460876465,432.3869526386261,885.4411697387695,429.85535502433777,158.5,98.5,1,1,0,0
1749465479472977900,1.8160020112991333,-3.0614278316497803,878.4033393859863,429.00295972824097,878.4033393859863,429.00295972824097,158.5,98.5,1,1,0,0
1749465479522019200,1.9162704944610596,-2.979799270629883,881.4559936523438,431.328467130661,881.4559936523438,429.85535502433777,156.0,95.0,1,1,0,0
1749465479544849300,2.1284127235412598,-2.4937009811401367,891.8126106262207,429.7917866706848,885.4411697387695,429.85535502433777,156.0,97.5,1,1,0,0
1749465479566414800,2.072169542312622,-2.3768820762634277,887.2330284118652,428.69213461875916,881.4559936523438,429.00295972824097,153.5,97.5,1,1,0,0
1749465479601936700,1.991245985031128,-2.330277681350708,882.4897956848145,426.4591634273529,882.4897956848145,429.7917866706848,157.0,99.5,1,1,0,0
1749465479632666100,2.0564284324645996,-3.0362420082092285,895.3384208679199,431.21578216552734,885.4411697387695,429.85535502433777,150.0,95.0,1,1,0,0
1749465479680558300,1.938175082206726,-3.11920428276062,890.2241706848145,431.39782905578613,885.4411697387695,429.7917866706848,141.5,116.0,1,1,0,0
1749465479705049200,1.738427996635437,-2.98771333694458,880.0440788269043,424.29239988327026,882.4897956848145,429.7917866706848,150.5,105.0,1,1,0,0
1749465479744546400,1.9463918209075928,-3.037473201751709,888.1076431274414,429.3158447742462,885.4411697387695,429.7917866706848,154.5,110.0,1,1,0,0
1749465479792685000,1.9014724493026733,-3.002218723297119,885.5889701843262,427.98319458961487,885.4411697387695,429.7917866706848,144.5,120.0,1,1,0,0
1749465479822579700,1.9014724493026733,-3.002218723297119,885.5889701843262,427.98319458961487,885.4411697387695,429.3158447742462,149.0,114.5,1,1,0,0
1749465479841386700,2.3011958599090576,-2.7601585388183594,903.680477142334,432.5427031517029,885.5889701843262,429.7917866706848,151.5,114.5,1,1,0,0
1749465479872768500,2.2598767280578613,-6.17978048324585,1590.5324935913086,207.15785443782806,885.5889701843262,429.3158447742462,170.0,101.0,1,1,0,0
1749465479923546500,1.3743869066238403,-9.585073471069336,1802.7363967895508,150.79499781131744,885.5889701843262,429.3158447742462,199.0,104.5,1,1,0,0
1749465479949938500,1.3764010667800903,-9.624083518981934,1806.2211227416992,137.1016824245453,903.680477142334,429.3158447742462,199.0,98.5,1,1,0,0
1749465479971644600,1.432326316833496,-9.298401832580566,1806.5254211425781,123.78880351781845,1590.5324935913086,207.15785443782806,201.0,105.5,1,1,0,0
1749465480000381100,1.7231711149215698,-8.808876037597656,1791.1111450195312,116.39450043439865,1791.1111450195312,150.79499781131744,205.5,118.0,1,1,0,0
1749465480032659500,1.7497409582138062,-8.673192977905273,1779.2016220092773,126.08157724142075,1779.2016220092773,137.1016824245453,204.0,108.0,1,1,0,0
1749465480080467600,1.7857184410095215,-8.64106273651123,1780.2093887329102,122.23763108253479,1780.2093887329102,126.08157724142075,199.5,114.0,1,1,0,0
1749465480099575900,1.4963263273239136,-9.185190200805664,1801.094856262207,124.801085293293,1791.1111450195312,126.08157724142075,201.0,114.0,1,1,0,0
1749465480160398800,1.571579933166504,-8.949660301208496,1796.6840744018555,122.91075557470322,1780.2093887329102,126.08157724142075,201.0,109.0,1,1,0,0
1749465480190778900,1.4927728176116943,-9.060959815979004,1801.5462112426758,114.07726496458054,1791.1111450195312,124.801085293293,201.0,106.0,1,1,0,0
